heartRate_cozie,light_cozie,noise_cozie,user_id,time-numeric,thermal_cozie
77.0,10.0,10.0,cresh14,22.6,10.0
78.0,10.0,10.0,cresh14,22.56,10.0
79.0,10.0,10.0,cresh14,23.1,10.0
75.0,10.0,10.0,cresh14,23.12,10.0
81.0,10.0,,cresh14,23.23,10.0
102.0,10.0,10.0,cresh14,23.43,9.0
93.0,10.0,10.0,cresh14,23.59,10.0
85.0,10.0,10.0,cresh14,0.21,10.0
85.0,10.0,10.0,cresh14,0.45,10.0
88.0,10.0,10.0,cresh13,10.57,11.0
102.0,10.0,11.0,cresh13,14.45,10.0
75.0,10.0,10.0,cresh14,17.24,10.0
85.0,10.0,10.0,cresh13,22.32,11.0
93.0,10.0,10.0,cresh14,14.9,10.0
97.0,10.0,10.0,cresh14,14.27,10.0
69.0,9.0,11.0,cresh13,14.28,10.0
103.0,10.0,11.0,cresh14,14.44,9.0
86.0,10.0,10.0,cresh14,15.18,9.0
66.0,10.0,10.0,cresh06,15.22,10.0
90.0,10.0,10.0,cresh04,15.32,10.0
84.0,10.0,10.0,cresh14,15.33,10.0
68.0,10.0,10.0,cresh06,15.37,10.0
90.0,10.0,10.0,cresh04,15.44,10.0
68.0,10.0,10.0,cresh06,15.52,10.0
87.0,10.0,10.0,cresh04,15.54,10.0
68.0,10.0,10.0,cresh06,16.7,10.0
89.0,10.0,10.0,cresh14,16.31,10.0
83.0,10.0,10.0,cresh04,16.38,10.0
81.0,10.0,10.0,cresh04,16.46,10.0
83.0,10.0,10.0,cresh14,16.47,10.0
68.0,10.0,10.0,cresh06,16.52,10.0
86.0,10.0,10.0,cresh14,17.7,10.0
86.0,10.0,10.0,cresh14,17.36,10.0
87.0,10.0,10.0,cresh14,17.45,10.0
85.0,10.0,10.0,cresh14,18.7,10.0
79.0,10.0,11.0,cresh13,19.5,11.0
85.0,10.0,10.0,cresh13,22.14,11.0
66.0,10.0,10.0,cresh06,10.29,10.0
61.0,10.0,10.0,cresh06,10.46,10.0
58.0,10.0,10.0,cresh06,11.1,10.0
58.0,10.0,10.0,cresh06,11.16,10.0
60.0,10.0,10.0,cresh06,11.31,9.0
59.0,10.0,10.0,cresh06,11.46,9.0
60.0,10.0,10.0,cresh06,12.1,9.0
64.0,10.0,10.0,cresh06,12.16,9.0
62.0,10.0,10.0,cresh06,12.31,9.0
83.0,10.0,10.0,cresh13,12.37,10.0
59.0,10.0,10.0,cresh06,12.46,9.0
63.0,10.0,10.0,cresh06,13.1,9.0
90.0,9.0,10.0,cresh12,13.9,11.0
85.0,10.0,10.0,cresh13,13.1,11.0
88.0,9.0,10.0,cresh12,13.13,11.0
66.0,10.0,10.0,cresh06,13.31,9.0
64.0,9.0,11.0,cresh12,13.33,11.0
72.0,10.0,10.0,cresh08,13.38,10.0
78.0,10.0,10.0,cresh08,13.4,11.0
68.0,10.0,11.0,cresh12,13.5,11.0
91.0,10.0,10.0,cresh08,13.51,10.0
86.0,10.0,11.0,cresh08,14.1,10.0
60.0,10.0,10.0,cresh06,14.1,9.0
59.0,10.0,10.0,cresh06,14.16,9.0
83.0,10.0,10.0,cresh08,14.17,10.0
94.0,10.0,10.0,cresh12,14.2,10.0
85.0,10.0,11.0,cresh08,14.26,10.0
77.0,10.0,10.0,cresh12,14.36,10.0
82.0,10.0,10.0,cresh08,14.39,10.0
76.0,10.0,11.0,cresh08,14.48,11.0
69.0,10.0,10.0,cresh12,14.5,10.0
79.0,10.0,11.0,cresh08,14.58,10.0
85.0,10.0,10.0,cresh13,15.0,11.0
93.0,10.0,11.0,cresh08,15.7,10.0
63.0,10.0,10.0,cresh12,15.7,10.0
66.0,10.0,10.0,cresh12,15.13,10.0
93.0,10.0,10.0,cresh08,15.16,10.0
69.0,10.0,10.0,cresh12,15.23,10.0
72.0,10.0,10.0,cresh08,15.37,10.0
83.0,10.0,10.0,cresh12,15.43,10.0
61.0,10.0,10.0,cresh08,15.51,10.0
68.0,10.0,10.0,cresh12,16.0,10.0
63.0,10.0,10.0,cresh08,16.1,10.0
66.0,10.0,10.0,cresh08,16.1,10.0
59.0,10.0,10.0,cresh12,16.15,10.0
60.0,10.0,10.0,cresh12,16.31,10.0
67.0,10.0,10.0,cresh12,16.5,10.0
55.0,10.0,10.0,cresh08,16.52,10.0
57.0,10.0,10.0,cresh08,16.56,10.0
64.0,10.0,10.0,cresh12,17.2,9.0
62.0,10.0,10.0,cresh08,17.3,10.0
61.0,10.0,10.0,cresh08,17.12,10.0
92.0,10.0,10.0,cresh12,17.13,10.0
54.0,10.0,10.0,cresh12,17.18,10.0
77.0,10.0,10.0,cresh08,17.21,10.0
62.0,10.0,10.0,cresh12,17.32,9.0
59.0,10.0,10.0,cresh08,17.41,10.0
64.0,10.0,10.0,cresh12,17.47,9.0
58.0,10.0,10.0,cresh08,17.5,10.0
53.0,11.0,10.0,cresh08,17.59,10.0
59.0,10.0,10.0,cresh08,18.8,10.0
94.0,10.0,10.0,cresh13,19.6,11.0
69.0,10.0,10.0,cresh11,11.5,10.0
110.0,10.0,10.0,cresh04,11.5,10.0
84.0,10.0,10.0,cresh11,11.15,10.0
84.0,10.0,10.0,cresh11,11.27,10.0
78.0,10.0,10.0,cresh11,11.36,9.0
75.0,10.0,10.0,cresh11,11.46,10.0
78.0,10.0,10.0,cresh10,11.5,10.0
73.0,10.0,10.0,cresh11,11.56,10.0
95.0,10.0,10.0,cresh09,11.58,11.0
101.0,10.0,11.0,cresh06,11.58,11.0
90.0,10.0,11.0,cresh06,11.59,11.0
78.0,10.0,10.0,cresh10,12.17,9.0
94.0,11.0,10.0,cresh09,12.19,11.0
78.0,10.0,10.0,cresh04,12.28,10.0
79.0,10.0,10.0,cresh10,12.31,10.0
110.0,10.0,10.0,cresh04,12.36,10.0
107.0,9.0,10.0,cresh09,12.37,10.0
116.0,10.0,11.0,cresh06,12.43,11.0
69.0,10.0,10.0,cresh06,12.59,11.0
80.0,10.0,10.0,cresh04,13.1,10.0
80.0,10.0,10.0,cresh11,13.8,10.0
80.0,10.0,10.0,cresh10,13.9,10.0
79.0,10.0,10.0,cresh04,13.11,10.0
95.0,9.0,10.0,cresh09,13.12,11.0
67.0,10.0,10.0,cresh06,13.14,11.0
80.0,10.0,10.0,cresh11,13.16,10.0
82.0,10.0,10.0,cresh04,13.31,10.0
70.0,10.0,10.0,cresh06,13.33,10.0
96.0,9.0,10.0,cresh09,13.34,11.0
82.0,10.0,10.0,cresh10,13.37,10.0
72.0,11.0,10.0,cresh11,13.4,10.0
