heartRate_cozie,light_cozie,noise_cozie,thermal_cozie,user_id,time-numeric
86.0,10.0,10.0,9.0,cresh14,17.42
63.0,10.0,10.0,10.0,cresh05,18.5
99.0,10.0,10.0,9.0,cresh14,18.7
89.0,10.0,11.0,10.0,cresh13,18.22
57.0,10.0,10.0,10.0,cresh05,19.1
93.0,10.0,10.0,10.0,cresh05,19.14
102.0,10.0,10.0,9.0,cresh14,20.28
88.0,10.0,10.0,10.0,cresh14,20.44
115.0,10.0,10.0,10.0,cresh14,20.57
90.0,10.0,10.0,10.0,cresh14,21.50
77.0,10.0,10.0,10.0,cresh14,22.6
78.0,10.0,10.0,10.0,cresh14,22.56
79.0,10.0,10.0,10.0,cresh14,23.10
75.0,10.0,10.0,10.0,cresh14,23.12
81.0,10.0,,10.0,cresh14,23.23
102.0,10.0,10.0,9.0,cresh14,23.43
93.0,10.0,10.0,10.0,cresh14,23.59
85.0,10.0,10.0,10.0,cresh14,0.21
85.0,10.0,10.0,10.0,cresh14,0.45
88.0,10.0,10.0,11.0,cresh13,10.57
102.0,10.0,11.0,10.0,cresh13,14.45
75.0,10.0,10.0,10.0,cresh14,17.24
85.0,10.0,10.0,11.0,cresh13,22.32
100.0,9.0,10.0,11.0,cresh15,11.10
69.0,11.0,10.0,11.0,cresh15,11.33
71.0,10.0,10.0,10.0,cresh15,11.50
72.0,10.0,10.0,9.0,cresh15,12.8
93.0,10.0,10.0,10.0,cresh14,14.9
97.0,10.0,10.0,10.0,cresh14,14.27
69.0,9.0,11.0,10.0,cresh13,14.28
103.0,10.0,11.0,9.0,cresh14,14.44
86.0,10.0,10.0,9.0,cresh14,15.18
66.0,10.0,10.0,10.0,cresh06,15.22
90.0,10.0,10.0,10.0,cresh04,15.32
84.0,10.0,10.0,10.0,cresh14,15.33
68.0,10.0,10.0,10.0,cresh06,15.37
90.0,10.0,10.0,10.0,cresh04,15.44
68.0,10.0,10.0,10.0,cresh06,15.52
87.0,10.0,10.0,10.0,cresh04,15.54
68.0,10.0,10.0,10.0,cresh06,16.7
89.0,10.0,10.0,10.0,cresh14,16.31
83.0,10.0,10.0,10.0,cresh04,16.38
81.0,10.0,10.0,10.0,cresh04,16.46
83.0,10.0,10.0,10.0,cresh14,16.47
68.0,10.0,10.0,10.0,cresh06,16.52
86.0,10.0,10.0,10.0,cresh14,17.7
86.0,10.0,10.0,10.0,cresh14,17.36
87.0,10.0,10.0,10.0,cresh14,17.45
85.0,10.0,10.0,10.0,cresh14,18.7
79.0,10.0,11.0,11.0,cresh13,19.5
85.0,10.0,10.0,11.0,cresh13,22.14
66.0,10.0,10.0,10.0,cresh06,10.29
61.0,10.0,10.0,10.0,cresh06,10.46
58.0,10.0,10.0,10.0,cresh06,11.1
58.0,10.0,10.0,10.0,cresh06,11.16
60.0,10.0,10.0,9.0,cresh06,11.31
59.0,10.0,10.0,9.0,cresh06,11.46
60.0,10.0,10.0,9.0,cresh06,12.1
64.0,10.0,10.0,9.0,cresh06,12.16
62.0,10.0,10.0,9.0,cresh06,12.31
83.0,10.0,10.0,10.0,cresh13,12.37
59.0,10.0,10.0,9.0,cresh06,12.46
63.0,10.0,10.0,9.0,cresh06,13.1
