heartRate_cozie,light_cozie,noise_cozie,user_id,temperature_mbient,time-numeric,thermal_cozie
79.0,10.0,11.0,cresh13,28.75,19.5,11.0
85.0,10.0,10.0,cresh13,30.375,22.14,11.0
66.0,10.0,10.0,cresh06,27.25,10.29,10.0
61.0,10.0,10.0,cresh06,28.125,10.46,10.0
58.0,10.0,10.0,cresh06,28.25,11.1,10.0
58.0,10.0,10.0,cresh06,28.125,11.16,10.0
60.0,10.0,10.0,cresh06,28.125,11.31,9.0
59.0,10.0,10.0,cresh06,27.5,11.46,9.0
60.0,10.0,10.0,cresh06,27.625,12.1,9.0
64.0,10.0,10.0,cresh06,27.875,12.16,9.0
62.0,10.0,10.0,cresh06,27.75,12.31,9.0
83.0,10.0,10.0,cresh13,29.125,12.37,10.0
59.0,10.0,10.0,cresh06,27.5,12.46,9.0
63.0,10.0,10.0,cresh06,27.25,13.1,9.0
90.0,9.0,10.0,cresh12,31.75,13.9,11.0
85.0,10.0,10.0,cresh13,29.375,13.1,11.0
88.0,9.0,10.0,cresh12,31.5,13.13,11.0
