heartRate_cozie,light_cozie,noise_cozie,thermal_cozie,user_id,room,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,time-numeric
64.0,10.0,,9.0,cresh01,IRC_LIBRARY_1,61.5263,121.0,49.0,27.3805,28.75,16.47
69.0,11.0,10.0,10.0,cresh01,IRC_LIBRARY_1,61.3876,376.0,49.0,27.3805,28.5,17.2
93.0,9.0,10.0,11.0,cresh13,NEAR_DIC_STUDIO_1,60.2963,77.0,55.0,26.6803,29.5,17.16
59.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,61.5993,282.0,52.0,27.3668,28.75,17.17
68.0,10.0,10.0,11.0,cresh13,NEAR_DIC_STUDIO_1,60.2185,69.0,52.0,26.7087,29.875,17.56
71.0,10.0,10.0,11.0,cresh05,BUDS_LAB,54.3204,157.0,42.0,23.570999999999998,25.25,18.10
72.0,10.0,10.0,11.0,cresh13,NEAR_DIC_STUDIO_1,60.2477,65.0,50.0,26.6803,28.875,18.23
96.0,10.0,10.0,10.0,cresh05,BUILDING_MATERIALS_LAB,52.571000000000005,11.0,44.0,24.1975,28.25,18.40
90.0,11.0,10.0,10.0,cresh05,IRC_LIBRARY_1,61.3146,183.0,49.0,27.2931,29.375,18.45
69.0,10.0,10.0,10.0,cresh13,NEAR_DIC_STUDIO_1,60.4131,61.0,51.0,26.5908,28.125,18.53
72.0,11.0,10.0,10.0,cresh05,IRC_LIBRARY_1,61.4788,172.0,49.0,27.2173,29.0,19.7
98.0,10.0,10.0,10.0,cresh05,OPEN_EXHIBITION_SPACE_2,85.9274,101.0,64.0,27.8027,29.375,19.15
108.0,9.0,10.0,10.0,cresh05,OPEN_EXHIBITION_SPACE_2,85.2011,101.0,67.0,27.7743,29.375,19.16
70.0,10.0,11.0,11.0,cresh13,OPEN_EXHIBITION_SPACE_2,87.8472,104.0,64.0,27.4479,30.5,19.27
86.0,10.0,10.0,10.0,cresh07,HOT_DESKING_ARCHITECTURE_STUDIO_SPACE_1,78.3955,1294.0,51.0,26.3686,29.625,19.39
76.0,10.0,,10.0,cresh07,IRC_LIBRARY_1,64.395,171.0,49.0,27.7522,30.125,20.2
82.0,10.0,10.0,11.0,cresh08,IRC_LIBRARY_1,64.395,171.0,49.0,27.7522,28.75,20.2
84.0,10.0,10.0,11.0,cresh07,IRC_LIBRARY_1,64.9765,172.0,51.0,27.9175,30.75,20.22
76.0,10.0,10.0,10.0,cresh07,IRC_LIBRARY_1,65.99,172.0,48.0,27.9007,31.125,20.34
106.0,10.0,10.0,10.0,cresh08,CAFE,71.092,16.0,59.0,29.9983,29.375,20.48
77.0,10.0,10.0,10.0,cresh07,IRC_LIBRARY_1,66.8513,172.0,48.0,27.9007,31.625,20.49
111.0,10.0,10.0,10.0,cresh07,OPEN_EXHIBITION_SPACE_2,81.9273,132.0,64.0,27.8638,27.875,10.5
76.0,9.0,11.0,10.0,cresh07,OPEN_EXHIBITION_SPACE_2,81.9455,120.0,68.0,28.205,30.25,10.20
84.0,9.0,11.0,10.0,cresh07,OPEN_EXHIBITION_SPACE_2,80.1803,123.0,65.0,28.4545,31.375,10.35
78.0,9.0,11.0,10.0,cresh07,CAFE,72.0935,65.0,64.0,27.3501,31.375,10.50
104.0,10.0,11.0,10.0,cresh10,EXECUTIVE_SEMINAR_ROOM_A,65.0749,1294.0,55.0,26.7932,28.75,10.53
78.0,9.0,10.0,10.0,cresh07,CAFE,70.4165,77.0,65.0,27.6318,31.5,11.6
